CC Num,SiteID,AUNum,Stream Class,Date,Waterbody,Watertype,Water_Class,Location,Link,Latitude,Longitude,County,Basin,Subbasin,Huc_8Digit,EcoRegion,Sample Type,Drainage,Temp_C,Sp_Cond,pH_SU,Diss_Oxy,Channel Modification,Instream Habitat,Substrate,Pools,Riffles,LBank,RBank,Shade,LRiparian,RRiparian,Total Score
10034,,,,8/1/06,BUSH R,River,N/A,SC SR 244,10034,34.16833333,-81.61055556,"Newberry, SC",,0,,P,Full Scale,0,27.2,272,6.7,6,,,,,,,,,,,
4450,QB232,12-119-(6)b,,11/12/87,ABBOTTS CR,Creek,Lake,I-85,4450,35.7875,-80.23583333,Davidson,YAD,7,3040103,P,Full Scale,178,0,0,0,0,,,,,,,,,,,
1612,QB233,12-119-(6)a,,11/13/85,ABBOTTS CR,Creek,Lake,SR 1243,1612,35.80666667,-80.23527778,Davidson,YAD,7,3040103,P,Full Scale,175,0,0,0,0,,,,,,,,,,,
2853,JB250,27-101-(1),,8/11/82,TRENT R,River,,NC 58,2853,35.065,-77.45666667,Jones,NEU,11,3020204,CA,Full Scale,167.6,0,0,0,0,,,,,,,,,,,
7161,QB233,12-119-(6)a,,8/9/96,ABBOTTS CR,Creek,Lake,SR 1243,7161,35.80666667,-80.23527778,Davidson,YAD,7,3040103,P,Full Scale,175,24,175,7.3,5.3,,,,,,,,,,,
8494,QB233,12-119-(6)a,,7/25/01,ABBOTTS CR,Creek,Lake,SR 1243,8494,35.80666667,-80.23527778,Davidson,YAD,7,3040103,P,Full Scale,175,23,479,6.8,6,4,16,8,8,12,2,3,5,3,3,64
9997,QB233,12-119-(6)a,,9/12/06,ABBOTTS CR,Creek,Lake,SR 1243,9997,35.80666667,-80.23527778,Davidson,YAD,7,3040103,P,Full Scale,175,21.2,153,6.6,5.3,4,13,8,6,14,6,6,7,5,5,74
2940,IB10,14-2-6,,5/18/83,NAKED CR,Creek,,SR 1003,2940,35.08194444,-79.59027778,Richmond,LBR,50,3040203,CA,Full Scale,37.1,0,0,0,0,,,,,,,,,,,
2941,PB26,19-39-3-1,,2/16/84,NW MILL CR,Creek,,NC 210 AB DRAINAGE DITCH,2941,34.54416667,-77.43472222,Onslow,WOK,2,3020302,CA,Qual 4,-1,0,0,0,0,,,,,,,,,,,
2942,PB11,19-39-3-1,,2/16/84,NW MILL CR,Creek,,NC 210 BE DRAINAGE DITCH,2942,34.54388889,-77.4325,Onslow,WOK,2,3020302,CA,Qual 4,-1,0,0,0,0,,,,,,,,,,,
2943,PB8,19-39-3-1,,2/16/84,E MILL CR,Creek,,BE CONFL,2943,34.53027778,-77.42166667,Onslow,WOK,2,3020302,CA,Qual 4,2,0,0,0,0,,,,,,,,,,,
2944,PB26,19-39-3-1,,8/5/85,NW MILL CR,Creek,,NC 210 AB DRAINAGE DITCH,2944,34.54416667,-77.43472222,Onslow,WOK,2,3020302,CA,Qual 4,-1,0,0,0,0,,,,,,,,,,,
2945,PB11,19-39-3-1,,8/5/85,NW MILL CR,Creek,,NC 210 BE DRAINAGE DITCH,2945,34.54388889,-77.4325,Onslow,WOK,2,3020302,CA,Qual 4,-1,0,0,0,0,,,,,,,,,,,
2946,PB10,19-39-3-1,,8/6/85,NE MILL CR,Creek,,BE CONFL,2946,34.53277778,-77.42111111,Onslow,WOK,2,3020302,CA,Qual 4,1.64,0,0,0,0,,,,,,,,,,,
2947,PB9,19-39-3-1,,8/6/85,N MILL CR,Creek,,NR CONFL,2947,34.53222222,-77.42166667,Onslow,WOK,2,3020302,CA,Qual 4,1.99,0,0,0,0,,,,,,,,,,,
2948,PB8,19-39-3-1,,8/5/85,E MILL CR,Creek,,BE CONFL,2948,34.53027778,-77.42166667,Onslow,WOK,2,3020302,CA,Qual 4,2,0,0,0,0,,,,,,,,,,,
3709,BB245,18-(26)b,,1/22/86,CAPE FEAR R,River,Riverine,AB BIG ALLIGATOR SWP,3709,34.92777778,-78.79555556,Cumberland,CPF,15,3030005,P,Boat,4820,0,0,0,0,,,,,,,,,,,
3708,BB246,18-(26)a,,1/22/86,CAPE FEAR R,River,Lake,NC 24,3708,35.05,-78.85777778,Cumberland,CPF,15,3030004,P,Full Scale,4400,0,0,0,0,,,,,,,,,,,
3707,BB250,18-(26)a,,1/22/86,CAPE FEAR R,River,Lake,US 301- I 95 BUS,3707,35.05833333,-78.85527778,Cumberland,CPF,15,3030004,P,Full Scale,4360,0,0,0,0,,,,,,,,,,,
2961,MB10,30-14-4-(1),,6/21/83,SCUPPERNONG R,River,,SR 1105,2961,35.87777778,-76.3375,Tyrrell,PAS,53,3010205,CB,Full Scale,129,0,0,0,0,,,,,,,,,,,
2962,MB12,30-16-(7),,6/22/83,ALLIGATOR R,River,,NR GUM NECK,2962,35.69944444,-76.15555556,Tyrrell,PAS,51,3010205,CB,Boat,115,0,0,0,0,,,,,,,,,,,
11294,QB233,12-119-(6)a,,9/13/11,ABBOTTS CR,Creek,Lake,SR 1243,,35.80666667,-80.23527778,Davidson,YAD,7,3040103,P,Full Scale,175,22,238,6.9,5.3,4,16,10,6,14,5,7,7,5,5,79
12146,QB233,,,8/23/16,ABBOTTS CR,Creek,Lake,SR 1243,,35.80666667,-80.23527778,Davidson,YAD,7,3040103,P,Full Scale,175,24.3,230,7.3,5.6,5,12,12,8,3,6,6,10,4,4,70
1616,QB442,12-119-(4.5),,11/14/85,ABBOTTS CR,Creek,Riverine,I-85 BUS,1616,35.85472222,-80.19777778,Davidson,YAD,7,3040103,P,Full Scale,71.2,0,0,0,0,,,,,,,,,,,
2981,OB101,28-79-(29),,7/25/83,FISHING CR,Creek,,US 301,2981,36.15083333,-77.69305556,Edgecombe,TAR,4,3020102,CA,Full Scale,530,0,0,0,0,,,,,,,,,,,
3001,IB38,14-(13)a,,7/16/85,LUMBER R,River,,SR 2289,3001,34.610015,-79.008648,Robeson,LBR,51,3040203,CA,Full Scale,718,0,0,0,0,,,,,,,,,,,
3002,IB37,14-(13)b,,7/16/85,LUMBER R,River,,SR 2202,3002,34.60694444,-79,Robeson,LBR,51,3040203,CA,Full Scale,718,0,0,0,0,,,,,,,,,,,
3003,IB27,14-(13)d,,7/16/85,LUMBER R,River,,NC 72,3003,34.59111111,-78.98333333,Robeson,LBR,51,3040203,CA,Full Scale,724,0,0,0,0,,,,,,,,,,,
3004,BB389,18-74-(1)c1,,7/2/86,NE CAPE FEAR R,River,,NC 11-903,3004,35.05277778,-77.83833333,Duplin,CPF,22,3030007,CB,Full Scale,1.21,0,0,0,0,,,,,,,,,,,
9896,QB236,12-119-(1),,5/10/06,ABBOTTS CR,Creek,Riverine,SR 1800,9896,35.93833333,-80.14666667,Davidson,YAD,7,3040103,P,Full Scale,37.1,15.3,133,6.8,9.3,4,17,5,9,4,6,6,7,4,4,66
6345,BB91,18-(20.7)a,,8/18/93,CAPE FEAR R,River,Riverine,NC 217,6345,35.31194444,-78.6925,Harnett,CPF,7,3030004,P,Full Scale,3770,0,0,0,0,,,,,,,,,,,
7158,QB235,12-119-(1),,8/8/96,ABBOTTS CR,Creek,Riverine,SR 1755,7158,35.95833333,-80.11194444,Davidson,YAD,7,3040103,P,EPT,22.3,23,90,7.5,7.2,,,,,,,,,,,
7668,BB91,18-(20.7)a,,7/13/98,CAPE FEAR R,River,Riverine,NC 217,7668,35.31194444,-78.6925,Harnett,CPF,7,3030004,P,Full Scale,3770,28,186,7,6.3,5,15,12,6,12,6,6,5,4,4,75
3127,BB437,18-(16.7),,7/14/83,CAPE FEAR R,River,Riverine,US 401,3127,35.40833333,-78.81333333,Harnett,CPF,7,3030004,P,Full Scale,3464,0,0,0,0,,,,,,,,,,,
3350,BB437,18-(16.7),,9/25/84,CAPE FEAR R,River,Riverine,US 401,3350,35.40833333,-78.81333333,Harnett,CPF,7,3030004,P,Full Scale,3464,0,0,0,0,,,,,,,,,,,
3531,BB437,18-(16.7),,8/1/85,CAPE FEAR R,River,Riverine,US 401,3531,35.40833333,-78.81333333,Harnett,CPF,7,3030004,P,Full Scale,3464,0,0,0,0,,,,,,,,,,,
3827,BB437,18-(16.7),,7/8/86,CAPE FEAR R,River,Riverine,US 401,3827,35.40833333,-78.81333333,Harnett,CPF,7,3030004,P,Full Scale,3464,0,0,0,0,,,,,,,,,,,
4547,QB394,13-17-40-4,,5/11/88,WICKER BR,Branch,Freshwater Forested/Shrub Wetland,SR 1940,4547,34.88138889,-80.44,Union,YAD,14,3040105,P,Full Scale,5.8601,0,0,0,0,,,,,,,,,,,
8640,QB235,12-119-(1),,9/28/01,ABBOTTS CR,Creek,Riverine,SR 1755,8640,35.95833333,-80.11194444,Davidson,YAD,7,3040103,P,EPT,22.3,14,132,7.6,11.2,5,14,11,4,10,5,5,10,5,5,74
10000,QB235,12-119-(1),,9/13/06,ABBOTTS CR,Creek,Riverine,SR 1755,10000,35.95833333,-80.11194444,Davidson,YAD,7,3040103,P,Full Scale,22.3,18.5,133,7.5,8.1,,,,,,,,,,,
4935,QB394,13-17-40-4,,5/16/89,WICKER BR,Branch,Freshwater Forested/Shrub Wetland,SR 1940,4935,34.88138889,-80.44,Union,YAD,14,3040105,P,Full Scale,5.8601,0,0,0,0,,,,,,,,,,,
4548,QB393,13-17-40-6,,5/11/88,WAXHAW BR,Branch,Riverine,SR 1937,4548,34.88611111,-80.40416667,Union,YAD,14,3040105,P,Full Scale,6.2232,0,0,0,0,,,,,,,,,,,
9898,QB234,12-119-(1),,5/10/06,ABBOTTS CR,Creek,Riverine,SR 1735,9898,36.00833333,-80.0775,Davidson,YAD,7,3040103,P,Full Scale,15.1,18.2,116,6.9,8.03,5,17,8,6,14,3,3,6,3,3,68
7172,QB385,13-17-36-(5)a2,,8/20/96,RICHARDSON CR,Creek,Riverine,SR 1649,7172,35.07222222,-80.40833333,Union,YAD,14,3040105,P,Full Scale,156.2,27,750,8.3,9.2,,,,,,,,,,,
8609,QB385,13-17-36-(5)a2,,8/23/01,RICHARDSON CR,Creek,Riverine,SR 1649,8609,35.07222222,-80.40833333,Union,YAD,14,3040105,P,Full Scale,156.2,25,755,8,9.5,5,15,12,10,14,5,5,7,5,5,83
10063,QB385,13-17-36-(5)a2,,8/23/06,RICHARDSON CR,Creek,Riverine,SR 1649,10063,35.07222222,-80.40833333,Union,YAD,14,3040105,P,Full Scale,156.2,25.4,600,0,6.6,5,20,8,6,14,6,6,7,5,4,81
7176,QB384,13-17-36-(5)b,,8/21/96,RICHARDSON CR,Creek,Riverine,SR 1600,7176,35.15805556,-80.23638889,Anson,YAD,14,3040105,P,EPT,234.6,27,600,9,12.2,,,,,,,,,,,
4091,CB264,11-135-4a,,6/10/87,ABERNETHY CR,Creek,Freshwater Forested/Shrub Wetland,UPS SR 1302,4091,35.25472222,-81.29277778,Gaston,CTB,37,3050101,P,Full Scale,2.5449,0,0,0,0,,,,,,,,,,,
8608,QB384,13-17-36-(5)b,,8/23/01,RICHARDSON CR,Creek,Riverine,SR 1600,8608,35.15805556,-80.23638889,Anson,YAD,14,3040105,P,EPT,234.6,27,694,8.6,10.5,5,19,12,4,16,6,6,7,5,5,85
3052,JB243,27-97-(0.5)b,,7/12/83,SWIFT CR,Creek,,SR 1478,3052,35.345,-77.19583333,Craven,NEU,9,3020202,CB,Full Scale,176.1,0,0,0,0,,,,,,,,,,,
3053,OB125,28-103a,,7/12/83,TRANTERS CR,Creek,,SR 1403,3053,35.56388889,-77.0875,Beaufort,TAR,6,3020103,CB,Full Scale,244,0,0,0,0,,,,,,,,,,,
3055,DB14,25c,,7/13/83,CHOWAN R,River,,US 17,3055,36.05944444,-76.6875,Chowan,CHO,4,3010203,CB,Full Scale,4920,0,0,0,0,,,,,,,,,,,
3057,NB75,24-2-(1)a2,,7/14/83,CASHIE R,River,,SR 1219,3057,36.12361111,-77.12166667,Bertie,ROA,10,3010107,CA,Full Scale,38.8,0,0,0,0,,,,,,,,,,,
3058,NB66,23-(53),,7/18/83,ROANOKE R,River,,NC 45,3058,35.8975,-76.73027778,Bertie,ROA,9,3010107,CB,Full Scale,9400,0,0,0,0,,,,,,,,,,,
3059,MB19,30-5-(1)b,,8/18/83,LITTLE R,River,,US 17,3059,36.24361111,-76.33083333,Perquimans,PAS,52,3010205,SWP,Full Scale,46.4,0,0,0,0,,,,,,,,,,,
3061,MB21,30-6-(3),,7/20/83,PERQUIMANS R,River,,US 17,3061,36.19444444,-76.46666667,Perquimans,PAS,52,3010205,CB,Full Scale,130,0,0,0,0,,,,,,,,,,,
3062,DB23,25-14,,7/20/83,WICCACON R,River,,SR 1433,3062,36.31388889,-76.79333333,Hertford,CHO,1,3010203,CB,Boat,273,0,0,0,0,,,,,,,,,,,
3063,DB11,25-4-(5),,7/21/83,MEHERRIN R,River,,SR 1175,3063,36.43777778,-76.95333333,Hertford,CHO,2,3010204,CB,Boat,1610,0,0,0,0,,,,,,,,,,,
4600,BB437,18-(16.7),,7/11/88,CAPE FEAR R,River,Riverine,US 401,4600,35.40833333,-78.81333333,Harnett,CPF,7,3030004,P,EPT,3464,0,0,0,0,,,,,,,,,,,
5092,CB264,11-135-4a,,9/12/89,ABERNETHY CR,Creek,Freshwater Forested/Shrub Wetland,UPS SR 1302,5092,35.25472222,-81.29277778,Gaston,CTB,37,3050101,P,EPT,2.5449,0,0,0,0,,,,,,,,,,,
4620,BB437,18-(16.7),,7/12/88,CAPE FEAR R,River,Riverine,US 401,4620,35.40833333,-78.81333333,Harnett,CPF,7,3030004,P,Full Scale,3464,0,0,0,0,,,,,,,,,,,
6143,CB264,11-135-4a,,3/23/93,ABERNETHY CR,Creek,Freshwater Forested/Shrub Wetland,UPS SR 1302,6143,35.25472222,-81.29277778,Gaston,CTB,37,3050101,P,Full Scale,2.5449,0,0,0,0,,,,,,,,,,,
5344,BB437,18-(16.7),,9/12/90,CAPE FEAR R,River,Riverine,US 401,5344,35.40833333,-78.81333333,Harnett,CPF,7,3030004,P,Full Scale,3464,0,0,0,0,,,,,,,,,,,
6343,BB437,18-(16.7),,8/23/93,CAPE FEAR R,River,Riverine,US 401,6343,35.40833333,-78.81333333,Harnett,CPF,7,3030004,P,Full Scale,3464,0,0,0,0,,,,,,,,,,,
7643,BB437,18-(16.7),,7/8/98,CAPE FEAR R,River,Riverine,US 401,7643,35.40833333,-78.81333333,Harnett,CPF,7,3030004,P,Full Scale,3464,28,180,7.4,7,4,10,11,10,0,6,6,0,1,4,52
10064,QB384,13-17-36-(5)b,,8/23/06,RICHARDSON CR,Creek,Riverine,SR 1600,10064,35.15805556,-80.23638889,Anson,YAD,14,3040105,P,EPT,234.6,28,296,0,7.6,5,20,12,4,12,7,7,2,5,2,76
8876,BB437,18-(16.7),,1/21/03,CAPE FEAR R,River,Riverine,US 401,8876,35.40833333,-78.81333333,Harnett,CPF,7,3030004,P,EPT,3464,5.8,110,7.6,12.8,4,12,4,10,1,6,6,2,3,5,53
9027,BB437,18-(16.7),,10/2/02,CAPE FEAR R,River,Riverine,US 401,9027,35.40833333,-78.81333333,Harnett,CPF,7,3030004,P,EPT,3464,25,185,7.3,6.9,5,18,12,4,0,7,7,2,3,5,63
3076,FB15,1-(43.7),,8/15/83,HIWASSEE R,River,,off SR 1687 UPS WILL SCOTT CR,3076,35.08055556,-84.00277778,Cherokee,HIW,2,6020002,MT,Full Scale,406,0,0,0,0,,,,,,,,,,,
3077,GB21,2-190-(3.5),,8/15/83,CHEOAH R,River,,SR 1138 AB LONG CR,3077,35.32888889,-83.80972222,Graham,LTN,4,6010204,MT,Full Scale,55.3,0,0,0,0,,,,,,,,,,,
3078,GB10,2-(1)b,,8/16/83,L TENNESSEE R,River,,SR 1651,3078,35.12222222,-83.37777778,Macon,LTN,1,6010202,MT,Full Scale,133,0,0,0,0,,,,,,,,,,,
3079,GB35,2-(26.5)a,,8/16/83,L TENNESSEE R,River,,NC 28,3079,35.235,-83.39583333,Macon,LTN,1,6010202,MT,Full Scale,323,0,0,0,0,,,,,,,,,,,
3080,EB250,5-(7)f,,8/17/83,PIGEON R,River,,I-40,3080,35.78527778,-83.11305556,"Cocke, TN",FRB,5,6010106,MT,Full Scale,540,0,0,0,0,,,,,,,,,,,
3081,EB260,5-16-(11.5)c,,8/17/83,RICHLAND CR,Creek,,SR 1184,3081,35.50861111,-82.97194444,Haywood,FRB,5,6010106,MT,Full Scale,47.7,0,0,0,0,,,,,,,,,,,
3082,EB251,5-(7)a,,8/17/83,PIGEON R,River,,OFF NC 215,3082,35.525,-82.84111111,Haywood,FRB,5,6010106,MT,Full Scale,130,0,0,0,0,,,,,,,,,,,
3083,EB91,6-(27)c,,8/18/83,FRENCH BROAD R,River,,SR 1503,3083,35.29888889,-82.62388889,Transylvania,FRB,2,6010105,MT,Full Scale,296,0,0,0,0,,,,,,,,,,,
3084,EB90,6-(54.75)c,,8/18/83,FRENCH BROAD R,River,,SR 1348,3084,35.60888889,-82.57805556,Buncombe,FRB,2,6010105,MT,Full Scale,944,0,0,0,0,,,,,,,,,,,
3085,EB194,6-(54.75)f,,8/18/83,FRENCH BROAD R,River,,NC 213,3085,35.78611111,-82.66083333,Madison,FRB,4,6010105,MT,Full Scale,1330,0,0,0,0,,,,,,,,,,,
3086,EB302,7-3-(13.7)a2,,8/19/83,CANE R,River,,OFF US 19W,3086,36.01444444,-82.32777778,Yancey,FRB,7,6010108,MT,Full Scale,157,0,0,0,0,,,,,,,,,,,
3087,EB294,7-2-52-(1),,8/19/83,S TOE R,River,,SR 1167,3087,35.83111111,-82.18444444,Yancey,FRB,6,6010108,MT,Full Scale,43.3,0,0,0,0,,,,,,,,,,,
3088,LB12,8-(1)b,,8/20/83,WATAUGA R,River,,SR 1121,3088,36.23833333,-81.82277778,Watauga,WAT,1,6010103,MT,Full Scale,92,0,0,0,0,,,,,,,,,,,
3089,JB250,27-101-(1),,7/11/83,TRENT R,River,,NC 58,3089,35.065,-77.45666667,Jones,NEU,11,3020204,CA,Full Scale,167.6,0,0,0,0,,,,,,,,,,,
3091,PB4,19-(1),,7/12/83,NEW R,River,,SR 1314,3091,34.849096,-77.519383,Onslow,WOK,2,3020302,CA,Full Scale,86.3,0,0,0,0,,,,,,,,,,,
3094,IB99,15-25-2-(1),,7/13/83,SHALLOTTE R,River,,US 17,3094,33.962347,-78.408165,Brunswick,LBR,59,3040208,CB,Full Scale,21.9,0,0,0,0,,,,,,,,,,,
3095,JB216,27-(85),,7/12/83,NEUSE R,River,,SR 1423,3095,35.209074,-77.121048,Craven,NEU,8,3020202,CB,Boat,4060,0,0,0,0,,,,,,,,,,,
11863,QB578,,,6/11/14,CROOKED RUN FK,River,Freshwater Forested/Shrub Wetland,SR 1607,,36.25955,-80.40747,Forsyth,YAD,,3040101,P,Qual 4,5.74,22.4,92,6.4,8,4,16,11,8,3,3,5,10,0,2,62
11864,QB579,,,6/11/14,CROOKED RUN FK,River,Freshwater Forested/Shrub Wetland,SR 1103,,36.26555,-80.43028,Stokes,YAD,,3040101,P,Qual 4,7.86,22.8,92,7.4,7.8,5,16,12,6,14,3,5,10,4,4,79
3100,OB90,28-(80),,7/25/83,TAR R,River,,US 64 BUS,3100,35.89388889,-77.53333333,Edgecombe,TAR,3,3020103,CA,Full Scale,2220,0,0,0,0,,,,,,,,,,,
3101,JB101,27-86-(7)b2,,7/26/83,CONTENTNEA CR,Creek,,SR 1800,3101,35.36805556,-77.43333333,Pitt,NEU,7,3020203,CA,Full Scale,993.7,0,0,0,0,,,,,,,,,,,
3102,BB301,18-68-12-(8.5),,7/26/83,SOUTH R,River,,SR 1502,3102,34.83666667,-78.48472222,Bladen,CPF,18,3030006,CA,Full Scale,377,0,0,0,0,,,,,,,,,,,
3103,BB413,18-74-(29.5),,7/27/83,NE CAPE FEAR R,River,,SR 1318,3103,34.64583333,-77.87333333,Pender,CPF,23,3030007,CA,Full Scale,972,0,0,0,0,,,,,,,,,,,
3104,IB31,14-(7),,7/27/83,LUMBER R,River,,SR 1003 NR PEMBROKE,3104,34.64166667,-79.18055556,Robeson,LBR,51,3040203,CA,Full Scale,437,0,0,0,0,,,,,,,,,,,
3105,BB327,18-68-1,,7/27/83,GREAT COHARIE CR,Creek,,SR 1214,3105,34.918337,-78.389221,Sampson,CPF,19,3030006,CA,Full Scale,180,0,0,0,0,,,,,,,,,,,
3106,KB28,10-2-(21.5),,8/8/83,N FK NEW R,River,,NC 16,3106,36.517537,-81.410117,Ashe,NEW,2,5050001,MT,Full Scale,229,0,0,0,0,,,,,,,,,,,
3107,KB10,10-1-(33.5),,8/8/83,S FK NEW R,River,,US 221 BE CRANBERRY CR,3107,36.47388889,-81.33694444,Ashe,NEW,1,5050001,MT,Full Scale,300,0,0,0,0,,,,,,,,,,,
3108,KB34,10b,,8/8/83,NEW R,River,,SR 1345,3108,36.55222222,-81.18333333,Alleghany,NEW,3,5050001,MT,Full Scale,823,0,0,0,0,,,,,,,,,,,
3109,LB12,8-(1)b,,8/9/83,WATAUGA R,River,,SR 1121,3109,36.23833333,-81.82277778,Watauga,WAT,1,6010103,MT,Full Scale,92,0,0,0,0,,,,,,,,,,,
3110,EB289,7,,8/9/83,NOLICHUCKY R,River,,OFF NC 197/SR 1321,3110,36.07802,-82.34755,Mitchell,FRB,6,6010108,MT,Full Scale,608,0,0,0,0,,,,,,,,,,,
3111,CB11,11-(8)b,,8/9/83,CATAWBA R,River,,SR 1221,3111,35.68583333,-82.06111111,McDowell,CTB,30,3050101,MT,Full Scale,127,0,0,0,0,,,,,,,,,,,
3112,CB32,11-29-(19),,8/10/83,LINVILLE R,River,,NC 126,3112,35.79472222,-81.89027778,Burke,CTB,30,3050101,MT,Full Scale,67.1,0,0,0,0,,,,,,,,,,,
3113,CB269,11-38-(35.5),,8/10/83,JOHNS R,River,,SR 1438,3113,35.83388889,-81.71166667,Burke,CTB,31,3050101,MT,Full Scale,201,0,0,0,0,,,,,,,,,,,
3114,AB69,9-55-1-(1),,8/10/83,N PACOLET R,River,,SR 1517,3114,35.21666667,-82.34638889,Polk,BRD,6,3050105,MT,Full Scale,5.79,0,0,0,0,,,,,,,,,,,
3115,AB45,9-41-(24.7),,8/11/83,SECOND BROAD R,River,,SR 1973,3115,35.23305556,-81.76666667,Rutherford,BRD,2,3050105,MT,Full Scale,219.9,0,0,0,0,,,,,,,,,,,
3116,AB6,9-(36.5),,8/11/83,BROAD R,River,,US 221,3116,35.205852,-81.839039,Rutherford,BRD,2,3050105,MT,Full Scale,609,0,0,0,0,,,,,,,,,,,
11862,QB577,,,6/11/14,CROOKED RUN FK,River,Freshwater Forested/Shrub Wetland,SR 1105,,36.26832,-80.39117,Stokes,YAD,,3040101,P,Qual 4,2.79,24.3,42,6.75,7.3,3,15,4,4,3,6,3,2,0,0,40
11860,QB575,,,6/11/14,CROOKED RUN FK,River,Freshwater Forested/Shrub Wetland,SR 1107,,36.27813,-80.38725,Stokes,YAD,,3040101,P,Qual 4,2.307763,18.5,78,6.2,8.3,4,16,12,10,14,6,5,7,2,2,78
8750,CB264,11-135-4a,,5/21/02,ABERNETHY CR,Creek,Freshwater Forested/Shrub Wetland,UPS SR 1302,8750,35.25472222,-81.29277778,Gaston,CTB,37,3050101,P,Full Scale,2.5449,13,85,7.7,8,5,15,8,0,16,6,6,10,5,5,76
11861,QB576,,,6/11/14,CROOKED RUN FK,River,Riverine,AB US 52,,36.28073,-80.38725,Stokes,YAD,,3040101,P,Qual 4,2.24,25.2,81,6.5,7.1,3,16,8,4,3,3,2,7,1,1,48
3121,JB202,27-52-(1),,7/11/83,MILL CR,Creek,,SR 1200,3121,35.34222222,-78.21722222,Johnston,NEU,4,3020201,CA,Full Scale,173,0,0,0,0,,,,,,,,,,,
4090,CB229,11-135-4b,,6/10/87,ABERNETHY CR,Creek,Freshwater Forested/Shrub Wetland,DNS SR 1302,4090,35.25611111,-81.28972222,Gaston,CTB,37,3050101,P,Full Scale,4.17,0,0,0,0,,,,,,,,,,,
6142,CB229,11-135-4b,,3/23/93,ABERNETHY CR,Creek,Freshwater Forested/Shrub Wetland,DNS SR 1302,6142,35.25611111,-81.28972222,Gaston,CTB,37,3050101,P,Full Scale,4.17,0,0,0,0,,,,,,,,,,,
4154,NB23,22-(31.5)b,,7/22/87,DAN R,River,Riverine,SR 2150,4154,36.4125,-79.82638889,Rockingham,ROA,3,3010103,P,Full Scale,1040,0,0,0,0,,,,,,,,,,,
5037,NB23,22-(31.5)b,,8/8/89,DAN R,River,Riverine,SR 2150,5037,36.4125,-79.82638889,Rockingham,ROA,3,3010103,P,Full Scale,1040,0,0,0,0,,,,,,,,,,,
12124,NB132,,,8/29/16,DAN R,River,Riverine,OFF MABE DR,,36.43467,-80.278,Stokes,ROA,,3010103,P,Full Scale,246,23.6,53.5,7.5,8.2,4,18,15,4,7,7,5,2,5,1,68
12752,NB132,,,9/13/21,DAN R,River,Riverine,OFF MABE DR,,36.43467,-80.278,Stokes,ROA,,3010103,P,Full Scale,246,21.7,50.7,8.5,10,5,18,7,6,14,6,7,3,5,2,73
3128,IB89,15-(1)e,,7/26/83,WACCAMAW R,River,,NC 904,3128,34.018604,-78.619157,Columbus,LBR,57,3040206,CB,Full Scale,974,0,0,0,0,,,,,,,,,,,
